USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 119700  5652 ?        Ss   Dec06   0:03 /sbin/init auto noprompt
boyet      4740  0.0  0.2 178644  4720 ?        Sl   Dec06   0:00 /usr/lib/dconf/dconf-service
boyet      4760  0.0  1.4 527028 29368 ?        Ssl  Dec06   0:03 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
boyet      4783  0.0  0.3 353724  7664 ?        Sl   Dec06   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
boyet      4788  0.0  0.1  42892  3964 ?        S    Dec06   0:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
boyet      4791  0.0  0.3 206968  6472 ?        Sl   Dec06   0:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
boyet      4797  0.0  0.3 284608  7800 ?        Sl   Dec06   0:00 /usr/lib/ibus/ibus-dconf
boyet      4798  0.0  1.5 479376 30948 ?        Sl   Dec06   0:02 /usr/lib/ibus/ibus-ui-gtk3
boyet      4802  0.0  1.0 429912 20880 ?        Sl   Dec06   0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
boyet      4811  0.0  0.3 208748  7776 ?        Sl   Dec06   0:01 /usr/lib/ibus/ibus-engine-simple
boyet      4833  0.0  1.9 654340 38872 ?        Ssl  Dec06   0:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
boyet      4835  0.0  1.4 855208 29252 ?        Ssl  Dec06   0:02 /usr/lib/unity-settings-daemon/unity-settings-daemon
boyet      4843  0.0  0.7 553232 14420 ?        Ssl  Dec06   0:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
boyet      4849  0.0  1.7 640708 36336 ?        Ssl  Dec06   0:02 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
boyet      4859  0.5  5.1 1177860 105548 ?      Ssl  Dec06   2:19 compiz
boyet      4883  0.0  0.4 367260  8496 ?        Ssl  Dec06   0:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
boyet      4887  0.0  0.4 356108  9564 ?        Ssl  Dec06   0:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
boyet      4888  0.0  0.5 366976 10156 ?        Ssl  Dec06   0:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
boyet      4892  0.0  1.0 788924 21740 ?        Ssl  Dec06   0:03 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
boyet      4894  0.0  1.1 649372 23824 ?        Ssl  Dec06   0:01 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
boyet      4896  0.0  0.5 756608 11856 ?        Ssl  Dec06   0:01 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
boyet      4897  0.0  1.1 549472 24044 ?        Ssl  Dec06   0:01 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
boyet      4903  0.0  0.5 643440 10228 ?        Ssl  Dec06   0:01 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
boyet      4925  0.0  1.1 729208 23588 ?        Sl   Dec06   0:00 /usr/lib/evolution/evolution-source-registry
boyet      4932  0.0  0.5 442188 11860 ?        Sl   Dec06   0:02 /usr/bin/pulseaudio --start --log-target=syslog
boyet      4933  0.0  0.7 469672 14676 ?        Ssl  Dec06   0:00 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
boyet      4988  0.0  0.9 431288 19508 ?        Sl   Dec06   0:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
boyet      4989  0.0  1.1 576712 22652 ?        Sl   Dec06   0:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
boyet      4993  0.0  7.3 994468 149200 ?       Sl   Dec06   0:06 /usr/bin/gnome-software --gapplication-service
boyet      5000  0.0  2.3 745864 47112 ?        Sl   Dec06   0:05 nautilus -n
boyet      5001  0.0  1.6 664700 33324 ?        Sl   Dec06   0:00 nm-applet
boyet      5010  0.0  0.4 303448  9932 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root       5020  0.0  0.5 448772 11084 ?        Ssl  Dec06   0:00 /usr/lib/udisks2/udisksd --no-debug
boyet      5050  0.0  0.2 264600  5124 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
root       5057  0.0  1.8 635456 36736 ?        Sl   Dec06   0:01 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
boyet      5059  0.0  0.5 410676 11296 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
boyet      5065  0.0  0.2 266592  4712 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
boyet      5070  0.0  0.2 278788  5172 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
boyet      5090  0.0  0.5 370720 10688 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
boyet      5104  0.0  2.9 869444 59700 ?        Sl   Dec06   0:00 /usr/lib/evolution/evolution-calendar-factory
boyet      5147  0.0  0.8 564712 17536 ?        Sl   Dec06   0:00 zeitgeist-datahub
boyet      5155  0.0  0.0   4508   720 ?        S    Dec06   0:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
boyet      5159  0.0  0.4 357884  9020 ?        Sl   Dec06   0:00 /usr/bin/zeitgeist-daemon
boyet      5168  0.0  0.7 321524 15616 ?        Sl   Dec06   0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
boyet      5181  0.0  1.7 661712 34704 ?        Sl   Dec06   0:13 /usr/lib/gnome-terminal/gnome-terminal-server
boyet      5191  0.0  0.2  68236  5164 ?        S    Dec06   0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
boyet      5194  0.0  0.2  29496  5280 pts/18   Ss   Dec06   0:01 bash
